title,url,date,pmid,news_id
"U.S. still outpaces other nations in infant, child mortality",https://www.reuters.com/article/us-health-child-mortality-usa/u-s-still-outpaces-other-nations-in-infant-child-mortality-idUSKCN1MB3SI,2018/10/1,30285034,41393
Women who drink more water get fewer UTIs,https://www.reuters.com/article/us-health-uti-fluids/women-who-drink-more-water-get-fewer-utis-idUSKCN1MB3TI,2018/10/1,30285042,80592
Obesity in Toddlerhood Hard to Shake,https://www.medpagetoday.com/pediatrics/obesity/75478,2018/10/3,30281992,92824
"Worse Cardio, Mental Health in Sexual Harassment, Assault Victims",https://www.medpagetoday.com/psychiatry/generalpsychiatry/75483,2018/10/3,30285071,17197
"Sexual harassment, abuse tied to real health effects",https://www.reuters.com/article/us-health-assault-harassment/sexual-harassment-abuse-tied-to-real-health-effects-idUSKCN1MD26O,2018/10/3,30285071,54384
Southern diet helps explain extra high blood pressure risk for black men,https://www.reuters.com/article/us-health-hypertension-diet/southern-diet-helps-explain-extra-high-blood-pressure-risk-for-black-men-idUSKCN1MD2B5,2018/10/3,30285178,40082
Indiana HIV outbreak among drug users may have been avoidable,https://www.reuters.com/article/us-health-hiv-indiana/indiana-hiv-outbreak-among-drug-users-may-have-been-avoidable-idUSKCN1ME2N7,2018/10/4,30220531,26591
Non-white elders in U.S. less likely to use low-vision devices,https://www.reuters.com/article/us-health-minorities-vision/non-white-elders-in-u-s-less-likely-to-use-low-vision-devices-idUSKCN1ME2H6,2018/10/4,30193379,99685
Even light exercise might lessen severity of a future stroke,https://www.reuters.com/article/us-health-stroke-fitness/even-light-exercise-might-lessen-severity-of-a-future-stroke-idUSKCN1ME2KN,2018/10/4,30232251,20806
Blood sugar control tied to long-term brain health with type 1 diabetes,https://www.reuters.com/article/us-health-diabetes-dementia/blood-sugar-control-tied-to-long-term-brain-health-with-type-1-diabetes-idUSKCN1MF2KA,2018/10/5,30181165,39562
Alternative medicine might help ease psoriasis symptoms,https://www.reuters.com/article/us-health-psoriasis/alternative-medicine-might-help-ease-psoriasis-symptoms-idUSKCN1MF2L5,2018/10/5,30193251,36452
Treating sleep apnea may improve stroke outcomes,https://www.reuters.com/article/us-health-stroke-sleep/treating-sleep-apnea-may-improve-stroke-outcomes-idUSKCN1MF2KN,2018/10/5,30369321,78850
Online Treatment Model Appears Viable in Psoriasis Care,https://www.medpagetoday.com/dermatology/psoriasis/75549,2018/10/7,30646223,36713
Opioid-Benzo Overlap Higher in Patients Using Multiple Health Systems,https://www.medpagetoday.com/neurology/opioids/75580,2018/10/8,30304353,53422
No Surprise: LGBT Teens More Likely to Attempt Suicide,https://www.medpagetoday.com/pediatrics/generalpediatrics/75574,2018/10/8,30304350,46488
Eye parasite can be avoided with good contact lens hygiene,https://www.reuters.com/article/us-health-contactlenses/eye-parasite-can-be-avoided-with-good-contact-lens-hygiene-idUSKCN1MI1Y2,2018/10/8,30232172,79215
Being aware of fetal movement doesn't prevent stillbirths,https://www.reuters.com/article/us-health-pregnancy-fetal-movement/being-aware-of-fetal-movement-doesnt-prevent-stillbirths-idUSKCN1MI27U,2018/10/8,30269876,72524
Better insurance coverage of non-drug therapies might help ease opioid crisis,https://www.reuters.com/article/us-health-back-pain-insurance/better-insurance-coverage-of-non-drug-therapies-might-help-ease-opioid-crisis-idUSKCN1MJ2M0,2018/10/9,30646222,18481
Church-based programs may help bring blood pressure down,https://www.reuters.com/article/us-health-hypertension-religion/church-based-programs-may-help-bring-blood-pressure-down-idUSKCN1MJ2IK,2018/10/9,30354579,12723
Dementia Risk Lower for Afib Patients on Blood Thinners,https://www.medpagetoday.com/neurology/dementia/75635,2018/10/10,30305443,86306
Social media may reduce depression risk for older people with pain,https://www.reuters.com/article/us-health-seniors-social-media/social-media-may-reduce-depression-risk-for-older-people-with-pain-idUSKCN1MK2LN,2018/10/10,30260444,60263
Mysteries Solved at NIH Program for Undiagnosed Illnesses,https://www.medpagetoday.com/primarycare/generalprimarycare/75659,2018/10/11,30304647,80207
Doctors move away from using live animals for trauma surgery training,https://www.reuters.com/article/us-health-trauma-training-animals/doctors-move-away-from-using-live-animals-for-trauma-surgery-training-idUSKCN1ML2LE,2018/10/11,30245060,40968
"Cataract surgery for senior drivers tied to reduced car crash risk, costs",https://www.reuters.com/article/us-health-cataracts-autos-accidents/cataract-surgery-for-senior-drivers-tied-to-reduced-car-crash-risk-costs-idUSKCN1MM2HX,2018/10/12,30265273,99289
Poverty may partly explain disparity in heart defect outcomes,https://www.reuters.com/article/us-health-infants-heart-defects/poverty-may-partly-explain-disparity-in-heart-defect-outcomes-idUSKCN1MM1YT,2018/10/12,30371284,83594
"Alcohol, Suicide-Related Mortality Higher in Diabetics",https://www.medpagetoday.com/primarycare/diabetes/75713,2018/10/15,30320503,31450
More and More Hip-Hop Music Videos Going Up in Smoke,https://www.medpagetoday.com/primarycare/smoking/75722,2018/10/15,30326017,72590
More hip-hop videos show smoking and vaping,https://www.reuters.com/article/us-health-hip-hop-smoking/more-hip-hop-videos-show-smoking-and-vaping-idUSKCN1MP23Y,2018/10/15,30326017,63513
Psoriasis Tied to Increased Risk for Sexual Health Issues,https://www.medpagetoday.com/dermatology/psoriasis/75744,2018/10/16,30304327,60782
Most older adults would willingly take fewer medicines,https://www.reuters.com/article/us-health-elderly-deprescribing/most-older-adults-would-willingly-take-fewer-medicines-idUSKCN1MQ315,2018/10/16,30326004,80586
Restless legs syndrome linked with risk for suicidal thoughts,https://www.reuters.com/article/us-health-restless-legs-suicide/restless-legs-syndrome-linked-with-risk-for-suicidal-thoughts-idUSKCN1MQ2MZ,2018/10/16,30529070,36094
Cannabis Use Again Tied to Risk for Psychotic-Like Experiences,https://www.medpagetoday.com/psychiatry/generalpsychiatry/75770,2018/10/17,30347017,67983
Daily time with controlled blood sugar tied to risk of diabetic eye disease,https://www.reuters.com/article/us-health-diabetes-eyes/daily-time-with-controlled-blood-sugar-tied-to-risk-of-diabetic-eye-disease-idUSKCN1MR32X,2018/10/17,30201847,27766
Long-term safety of silicone breast implants still unclear,https://www.reuters.com/article/us-health-breastimplants-safety/long-term-safety-of-silicone-breast-implants-still-unclear-idUSKCN1MS2ZB,2018/10/18,30222598,62399
Older vets often leave hospital on increased dose of blood pressure pills,https://www.reuters.com/article/us-health-elderly-hypertension/older-vets-often-leave-hospital-on-increased-dose-of-blood-pressure-pills-idUSKCN1MS352,2018/10/18,30209052,93131
Fitness trackers' accuracy varies widely for calories burned,https://www.reuters.com/article/us-health-fitnesstrackers-calories/fitness-trackers-accuracy-varies-widely-for-calories-burned-idUSKCN1MS2QL,2018/10/18,30194221,79563
Adult bones healthier when kids participate in organized sports,https://www.reuters.com/article/us-health-kids-bone-strength/adult-bones-healthier-when-kids-participate-in-organized-sports-idUSKCN1MS3AL,2018/10/18,30328145,56198
Chronic Inflammation May Boost Alzheimer's Risk for APOE4 Carriers,https://www.medpagetoday.com/neurology/alzheimersdisease/75808,2018/10/19,30646251,83980
"Too many people missing out on health benefits of golf, some experts say",https://www.reuters.com/article/us-health-golf/too-many-people-missing-out-on-health-benefits-of-golf-some-experts-say-idUSKCN1MT2RM,2018/10/19,30245478,19003
Hispanic heart disease deaths highest in mostly-Latino communities,https://www.reuters.com/article/us-health-heart-hispanic/hispanic-heart-disease-deaths-highest-in-mostly-latino-communities-idUSKCN1MT2I5,2018/10/19,30371295,34390
Elite athletes not at higher risk of birth complications,https://www.reuters.com/article/us-health-pregnancy-athletes/elite-athletes-not-at-higher-risk-of-birth-complications-idUSKCN1MT2FH,2018/10/19,30228171,39551
Omega 3 fatty acids found in seafood tied to healthy aging,https://www.reuters.com/article/us-health-diet-omega3/omega-3-fatty-acids-found-in-seafood-tied-to-healthy-aging-idUSKCN1MX2ZJ,2018/10/23,30333104,93088
Stress Tied To Worse Memory in 40-Somethings,https://www.medpagetoday.com/neurology/generalneurology/75919,2018/10/25,30355700,91801
Kidney Outcomes Mixed Bag with Intensive Metabolic Care,https://www.medpagetoday.com/meetingcoverage/asn/75953,2018/10/26,30361335,69756
Hospital accreditation not linked to patient outcomes in U.S.,https://www.reuters.com/article/us-health-hospitals-accreditation/hospital-accreditation-not-linked-to-patient-outcomes-in-u-s-idUSKCN1N023N,2018/10/26,30337294,77479
Prenatal Phthalate Exposure Tied to Language Delay in Toddlers,https://www.medpagetoday.com/pediatrics/generalpediatrics/75996,2018/10/29,30383084,12865
Kids' apps may have a lot more ads than you think,https://www.reuters.com/article/us-health-kids-apps-ads/kids-apps-may-have-a-lot-more-ads-than-you-think-idUSKCN1N42BZ,2018/10/30,30371646,89155
"Short interval between pregnancies linked to increased risks for mom, baby",https://www.reuters.com/article/us-health-pregnancy/short-interval-between-pregnancies-linked-to-increased-risks-for-mom-baby-idUSKCN1N42ZV,2018/10/30,30383085,25764
"No Autism Link to Many Depression, Psychosis Drugs in Pregnancy",https://www.medpagetoday.com/neurology/autism/76056,2018/10/31,30383108,90337
A few interventions may work to reduce C-sections,https://www.reuters.com/article/us-health-childbirth-c-sections/a-few-interventions-may-work-to-reduce-c-sections-idUSKCN1N52RZ,2018/10/31,30264405,64532
Many African Americans may have undiagnosed sleep apnea,https://www.reuters.com/article/us-health-sleep-african-americans/many-african-americans-may-have-undiagnosed-sleep-apnea-idUSKCN1N52WW,2018/10/31,30192958,25256
Race may impact help-seeking by women facing barriers to breast cancer care,https://www.reuters.com/article/us-health-breastcancer-race-barriers/race-may-impact-help-seeking-by-women-facing-barriers-to-breast-cancer-care-idUSKCN1N65ZZ,2018/11/1,30246241,15168
Anesthesia in early childhood not tied to developmental problems,https://www.reuters.com/article/us-health-kids-anesthesia/anesthesia-in-early-childhood-not-tied-to-developmental-problems-idUSKCN1NA2RI,2018/11/5,30398535,63834
AAP: Armed Conflict Is a Pediatric Issue,https://www.medpagetoday.com/meetingcoverage/aap/76154,2018/11/6,30397168,57408
"Kids' Post-Concussion Trajectory Varies with Age, Sex",https://www.medpagetoday.com/pediatrics/generalpediatrics/76147,2018/11/6,30398522,42754
Benefit of low-salt diet for heart failure uncertain,https://www.reuters.com/article/us-health-heart-salt/benefit-of-low-salt-diet-for-heart-failure-uncertain-idUSKCN1NB2WR,2018/11/6,30398532,65712
AHA: Prescription Fish Oil Wins for CV Prevention,https://www.medpagetoday.com/meetingcoverage/aha/76252,2018/11/10,30415628,58265
Weight loss after menopause tied to lower breast cancer risk,https://www.reuters.com/article/us-health-breastcancer-weightloss/weight-loss-after-menopause-tied-to-lower-breast-cancer-risk-idUSKCN1NF01B,2018/11/10,30294816,83315
Doctors not pushing smokers with artery disease to quit,https://www.reuters.com/article/us-health-pad-smoking/doctors-not-pushing-smokers-with-artery-disease-to-quit-idUSKCN1NF015,2018/11/10,30371269,74507
Helicopter emergency medical services uneven across Europe,https://www.reuters.com/article/us-health-emergencies-helicopters-europe/helicopter-emergency-medical-services-uneven-across-europe-idUSKCN1NH2GL,2018/11/12,30352808,69562
Doctors still advise against marijuana for pregnant and breastfeeding women,https://www.reuters.com/article/us-health-pregnancy-breastfeeding-mariju/doctors-still-advise-against-marijuana-for-pregnant-and-breastfeeding-women-idUSKCN1NK2ZL,2018/11/15,30234728,29712
Social media posts by marijuana companies may have teen appeal,https://www.reuters.com/article/us-health-marijuana-social-media/social-media-posts-by-marijuana-companies-may-have-teen-appeal-idUSKCN1NL252,2018/11/16,30646364,85284
Obesity explains almost 1 in 20 cancer cases globally,https://www.reuters.com/article/us-health-overweight-cancer/obesity-explains-almost-1-in-20-cancer-cases-globally-idUSKCN1OJ2VJ,2018/12/20,30548482,86932
"Data on safety, effectiveness of common acne drug unreliable, some researchers say",https://www.reuters.com/article/us-health-acne/data-on-safety-effectiveness-of-common-acne-drug-unreliable-some-researchers-say-idUSKCN1OK24K,2018/12/21,30484286,66316
Anonymous patient data may not be as private as previously thought,https://www.reuters.com/article/us-health-privacy/anonymous-patient-data-may-not-be-as-private-as-previously-thought-idUSKCN1OK24O,2018/12/21,30646312,12822
Q&A: Overtime and Collaboration in Nursing,https://www.medpagetoday.com/nursing/nursing/77067,2018/12/23,29799816,51515
People who understand the benefits of exercise may spend more time being active,https://www.reuters.com/article/us-health-fitness/people-who-understand-the-benefits-of-exercise-may-spend-more-time-being-active-idUSKCN1ON0ZA,2018/12/24,30485310,71688
Seawalls may give false sense of security during a tsunami,https://www.reuters.com/article/us-health-tsunami-seawall-evacuation/seawalls-may-give-false-sense-of-security-during-a-tsunami-idUSKCN1ON0XL,2018/12/24,30448770,56187
"Doctor moms struggle with discrimination, too",https://www.reuters.com/article/us-health-physician-moms/doctor-moms-struggle-with-discrimination-too-idUSKCN1OO0R0,2018/12/25,30541926,81317
Late-night tweeting may affect pro basketball players' performance,https://www.reuters.com/article/us-health-sleep-tweeting/late-night-tweeting-may-affect-pro-basketball-players-performance-idUSKCN1OO0R2,2018/12/25,30670169,72064
Was Hospital Water Culpable in a Cluster of Rare HAIs,https://www.medpagetoday.com/infectiousdisease/generalinfectiousdisease/77121,2018/12/26,30586509,30586
"Opioid abuse up in people who need heart surgery, increasing risk of complications",https://www.reuters.com/article/us-health-opioids-heart-surgery/opioid-abuse-up-in-people-who-need-heart-surgery-increasing-risk-of-complications-idUSKCN1OP117,2018/12/26,30516807,82439
Rerouting Nerves Reduces Post-Amputation Pain,https://www.medpagetoday.com/neurology/generalneurology/77131,2018/12/27,30589808,32219
"Alcohol, Psychological Distress Tied to REM Disorder",https://www.medpagetoday.com/neurology/sleepdisorders/77138,2018/12/27,30587514,53308
Famine as a fetus linked to early menopause,https://www.reuters.com/article/us-health-pregnancy-famine-menopause/famine-as-a-fetus-linked-to-early-menopause-idUSKCN1OQ1IB,2018/12/27,30516712,93236
"Adults With Cerebral Palsy Face Depression, Anxiety Risks",https://www.medpagetoday.com/neurology/generalneurology/77154,2018/12/28,30592485,31604
Seizure Patients Often See Swift Return to Hospital,https://www.medpagetoday.com/neurology/seizures/77163,2018/12/28,30578373,17330
